eval_set,version,a_bin,a_cases,a_avg,a_min,a_max,b_bin,b_cases,b_avg,b_min,b_max,c_bin,c_cases,c_avg,c_min,c_max,total_cases,total_sum,total_avg
stride4_25,v003,v003_a_setcover,25,4031656.36,3514574,4836502,v003_b_route,25,7089882.32,5669137,9700585,v003_c_route,25,9211707.88,8718733,9724833,75,508331164,6777748.85
stride4_25,v004,,,0.00,,,v004_b_route_ls,25,7416124.72,6064874,9676738,v004_c_route_ls,25,9545893.48,9299137,9755727,50,424050455,8481009.10
stride4_25,v005,v005_a_setcover_ls,25,4272711.24,3736967,5184426,v005_b_route_ls,25,7490778.24,6164067,9749495,v005_c_route_ls,25,9610279.24,9447604,9755727,75,534344218,7124589.57
stride4_25,v006,v006_a_tradeoff,25,4342925.72,3736967,4943417,v006_b_tradeoff,25,6725831.92,5431214,8630196,v006_c_tradeoff,25,8454450.60,8398022,8544081,75,488080206,6507736.08
stride4_25,v101,v101_a_tradeoff,25,4328635.12,3736967,4943417,v101_b_wall_snake,25,9233304.68,7820266,12249924,v101_c_wall_snake,25,11094798.24,10219459,12498951,75,616418451,8218912.68
stride4_25,v102,v102_a_tradeoff,25,4328635.12,3736967,4943417,v102_b_wall_snake,25,9376412.40,7782793,12249924,v102_c_wall_snake,25,11094798.24,10219459,12498951,75,619996144,8266615.25
stride4_25,v103,v103_a_template_augmented_setcover,25,5907753.08,4473932,6643857,v103_b_wall_snake_template_hybrid,25,10073980.56,7782793,15437551,v103_c_wall_snake_template_hybrid,25,13198066.32,10219459,16607476,75,729494999,9726599.99
stride4_25,v007,v007_a_tradeoff,25,4298447.72,3689661,4943417,v007_b_route_orient,25,7492424.88,6143675,9749495,v007_c_route_orient,25,9612271.64,9457729,9755727,75,535078606,7134381.41,
stride4_25,v007_tune1,v007_a_tradeoff,25,4333547.12,3736967,4943417,v007_b_route_orient,25,7492424.88,6143675,9749495,v007_c_route_orient,25,9612271.64,9457729,9755727,75,535956091,7146081.21,
stride4_25,v008,v008_a_tradeoff,25,4331091.12,3736967,4943417,v008_b_route_orient,25,7492450.44,6143675,9749495,v008_c_route_orient,25,9612911.64,9457729,9755727,75,535911330,7145484.40,
stride4_25,v009,v009_a_tradeoff,25,4324277.88,3689661,4943417,v009_b_route_orient,25,7494891.68,6164067,9749495,v009_c_route_orient,25,9609167.56,9457729,9755727,75,535708428,7142779.04,
stride4_25,v010,v010_a_tradeoff,25,4334096.44,3689661,4943417,v010_b_route_orient,25,7494891.68,6164067,9749495,v010_c_route_orient,25,9612911.64,9457729,9755727,75,536047494,7147299.92,
stride4_25,v101_reval,v101_a_tradeoff,25,4319233.08,3736967,4943417,v101_b_wall_snake,25,9233304.68,7820266,12249924,v101_c_wall_snake,25,11094798.24,10219459,12498951,75,616183400,8215778.67,
stride4_25,v011,v011_a_tradeoff,25,4329066.08,3736967,4943417,v011_b_wall_snake,25,9233304.68,7820266,12249924,v011_c_wall_snake,25,11094798.24,10219459,12498951,75,616429225,8219056.33,
stride4_25,v103_recheck,v103_a_template_augmented_setcover,25,5894875.96,4473932,6643857,v103_b_wall_snake_template_hybrid,25,10073980.56,7782793,15437551,v103_c_wall_snake_template_hybrid,25,13198066.32,10219459,16607476,75,729173071,9722307.61,
stride4_25,v013,v013_a_template_augmented_setcover,25,5907753.08,4473932,6643857,v013_b_wall_snake_template_hybrid,25,10213735.48,8074990,15437551,v013_c_wall_snake_template_hybrid,25,13198066.32,10219459,16607476,75,732988872,9773184.96,
stride4_25,v013_reval,v013_a_template_augmented_setcover,25,5907753.08,4473932,6643857,v013_b_wall_snake_template_hybrid,25,10213735.48,8074990,15437551,v013_c_wall_snake_template_hybrid,25,13198066.32,10219459,16607476,75,732988872,9773184.96,
stride4_25,v104_try1,v104_a_cross_library_setcover,25,6017039.84,5321929,6643857,v104_b_wall_snake_cross_library_hybrid,25,12740353.32,8557026,16607476,v104_c_wall_snake_cross_library_hybrid,25,15351206.68,10442569,16607476,75,852714996,11369533.28,
stride4_25,v104_try2,v104_a_cross_library_setcover,25,6017039.84,5321929,6643857,v104_b_wall_snake_cross_library_hybrid,25,12460223.80,8517134,16607476,v104_c_wall_snake_cross_library_hybrid,25,15412587.80,11350088,16607476,75,847246286,11296617.15,
stride4_25,v015,v013_a_template_augmented_setcover,25,5907753.08,4473932,6643857,v015_b_wall_snake_template_hybrid,25,10223674.72,8074990,15437551,v013_c_wall_snake_template_hybrid,25,13198066.32,10219459,16607476,75,733237353,9776498.04,
stride4_25,v104_try3_time1250,v104_a_cross_library_setcover,25,6017039.84,5321929,6643857,v104_b_wall_snake_cross_library_hybrid,25,12740353.32,8557026,16607476,v104_c_wall_snake_cross_library_hybrid,25,15351206.68,10442569,16607476,75,852714996,11369533.28,
stride4_25,v104,v104_a_cross_library_setcover,25,6005459.60,5184426,6643857,v104_b_wall_snake_cross_library_hybrid,25,12740353.32,8557026,16607476,v104_c_wall_snake_cross_library_hybrid,25,15351206.68,10442569,16607476,75,852425490,11365673.20,
stride4_25,v104_mix1,v104_a_cross_library_setcover,25,6017039.84,5321929,6643857,v104_b_wall_snake_cross_library_hybrid,25,12740353.32,8557026,16607476,v104_c_wall_snake_cross_library_hybrid,25,15412587.80,11350088,16607476,75,854249524,11389993.65,
stride4_25,v016,v013_a_template_augmented_setcover,25,5907753.08,4473932,6643857,v016_b_wall_snake_template_hybrid,25,10223674.72,8074990,15437551,v013_c_wall_snake_template_hybrid,25,13198066.32,10219459,16607476,75,733237353,9776498.04,
stride4_25,v104_mix1_t1800,v104_a_cross_library_setcover,25,6017039.84,5321929,6643857,v104_b_wall_snake_cross_library_hybrid,25,12740353.32,8557026,16607476,v104_c_wall_snake_cross_library_hybrid,25,15412587.80,11350088,16607476,75,854249524,11389993.65,
stride4_25,v105_try1,v105_a_cross_library_setcover_fast,25,6017039.84,5321929,6643857,v105_b_wall_snake_cross_library_hybrid_fast,25,12740353.32,8557026,16607476,v105_c_wall_snake_cross_library_hybrid_fast,25,15351206.68,10442569,16607476,75,852714996,11369533.28,
stride4_25,v017,v104_a_cross_library_setcover,25,6017039.84,5321929,6643857,v017_b_wall_snake_cross_library_allmix,25,12740353.32,8557026,16607476,v104_c_wall_snake_cross_library_hybrid,25,15412587.80,11350088,16607476,75,854249524,11389993.65,
stride4_25,v105_try2,v105_a_cross_library_setcover_fast,25,6017039.84,5321929,6643857,v105_b_wall_snake_cross_library_hybrid_fast,25,12740353.32,8557026,16607476,v105_c_wall_snake_cross_library_hybrid_fast,25,15351206.68,10442569,16607476,75,852714996,11369533.28,
stride4_25,v105_mix1,v105_a_cross_library_setcover_fast,25,6017039.84,5321929,6643857,v105_b_wall_snake_cross_library_hybrid_fast,25,12740353.32,8557026,16607476,v105_c_wall_snake_cross_library_hybrid_fast,25,15412587.80,11350088,16607476,75,854249524,11389993.65,
stride4_25,v105_tuned,v105_a_cross_library_setcover_fast,25,6017039.84,5321929,6643857,v105_b_wall_snake_cross_library_hybrid_fast,25,12740353.32,8557026,16607476,v105_c_wall_snake_cross_library_hybrid_fast,25,15412587.80,11350088,16607476,75,854249524,11389993.65,
stride4_25,v105,v105_a_cross_library_setcover_fast,25,6017039.84,5321929,6643857,v105_b_wall_snake_cross_library_hybrid_fast,25,12740353.32,8557026,16607476,v105_c_wall_snake_cross_library_hybrid_fast,25,15412587.80,11350088,16607476,75,854249524,11389993.65,
stride4_25,v106_try1,v106_a_diagonal_template_fast,25,6033748.32,5184426,6643857,v106_b_diagonal_template_fast,25,12701834.24,8577329,16607476,v106_c_diagonal_template_fast,25,15121232.76,10552193,16607476,75,846420383,11285605.11,
stride4_25,v106_try2,v106_a_diagonal_template_fast,25,6057039.88,5321929,6643857,v106_b_diagonal_template_fast,25,12887913.32,8557026,16607476,v106_c_diagonal_template_fast,25,15621314.32,11350088,16607476,75,864156688,11522089.17,
stride4_25,v106_try3,v106_a_diagonal_template_fast,25,6057039.88,5321929,6643857,v106_b_diagonal_template_fast,25,12887913.32,8557026,16607476,v106_c_diagonal_template_fast,25,15621314.32,11350088,16607476,75,864156688,11522089.17,
stride4_25,v106,v106_a_diagonal_template_fast,25,6057039.88,5321929,6643857,v106_b_diagonal_template_fast,25,12887913.32,8557026,16607476,v106_c_diagonal_template_fast,25,15621314.32,11350088,16607476,75,864156688,11522089.17,
